43,199,4.4
151,18,4.4
20,115,1.8
60,68,1.9
196,199,4.5
156,201,4.5
174,192,1.7
46,98,4.0
188,99,2.8
79,64,3.8
18,122,0.2
113,53,2.0
102,141,0.1
77,204,0.7
62,85,1.3
184,53,0.9
4,131,2.1
185,74,4.4
115,96,1.5
160,8,5.0
147,104,0.2
46,143,4.4
6,105,2.6
5,183,2.2
160,195,0.1
63,18,4.7
177,169,0.4
126,64,0.1
43,168,5.0
4,88,2.2
181,20,4.9
152,52,1.7
41,2,0.1
41,8,1.8
193,167,4.5
177,206,0.0
8,191,0.3
125,204,1.8
168,33,2.7
174,35,2.0
64,21,0.6
8,138,0.4
11,178,4.0
148,173,4.8
167,120,4.1
68,38,1.8
41,187,0.2
68,128,3.5
98,141,0.0
10,118,3.6
42,58,2.8
127,145,2.9
91,151,0.9
21,19,3.9
117,62,3.5
154,163,4.9
133,161,2.8
183,149,1.4
15,207,1.0
105,210,2.5
89,16,3.3
144,75,1.6
160,43,1.5
117,169,2.4
37,106,2.0
15,195,1.7
178,101,4.3
156,203,4.5
47,189,4.5
122,108,4.3
90,11,2.2
189,186,3.4
41,12,1.2
58,92,3.5
98,168,4.9
74,34,4.2
107,135,4.6
103,168,3.3
32,154,1.6
197,59,2.5
57,42,0.8
71,67,2.7
114,65,3.0
117,88,2.3
161,118,3.5
134,120,4.6
196,196,4.6
49,165,0.1
17,162,0.3
47,33,3.8
164,101,4.6
89,165,1.8
34,35,0.3
161,94,1.0
161,153,0.1
105,198,2.9
200,59,4.6
88,159,0.4
37,13,0.0
194,92,1.9
168,124,4.3
197,153,3.2
199,29,3.4
107,119,0.4
78,209,2.3
26,179,3.5
194,4,2.2
41,149,2.6
127,195,1.9
45,209,2.6
73,114,2.5
179,59,1.7
65,188,1.1
142,165,3.1
55,67,3.7
188,5,2.8
190,77,2.4
66,168,0.4
4,28,4.5
137,149,0.7
145,51,4.8
190,102,4.1
140,110,3.1
47,59,0.4
123,193,2.0
98,55,1.4
182,171,0.4
108,101,3.2
112,82,4.5
163,86,1.2
122,20,0.2
31,115,3.1
144,154,3.3
150,142,0.8
28,157,4.7
91,144,1.4
51,153,1.7
108,176,0.6
199,189,3.8
187,147,4.8
167,186,1.7
120,188,4.9
73,9,1.1
182,11,1.1
192,23,0.4
5,191,1.4
162,131,0.9
197,131,5.0
1,20,0.5
92,120,4.3
151,146,3.5
99,207,0.8
51,141,3.4
137,98,4.0
35,189,1.6
126,8,1.3
33,79,0.4
198,100,4.1
11,15,4.3
60,182,3.6
52,204,3.5
158,177,2.4
61,88,3.0
45,6,0.7
52,24,2.5
45,10,1.9
56,164,3.0
86,103,3.6
36,56,0.8
182,28,4.6
82,3,2.5
69,169,4.6
196,126,3.0
1,132,3.0
69,78,0.0
190,192,2.8
42,112,3.1
175,183,3.0
114,187,2.9
68,28,0.4
176,181,0.5
69,114,4.6
198,160,2.0
123,19,2.2
45,32,4.7
95,78,3.8
111,208,2.9
98,25,2.8
81,97,0.4
84,104,3.9
174,197,3.8
176,86,2.0
44,12,4.7
108,169,1.6
16,136,4.3
50,166,4.8
123,115,2.6
12,178,3.8
74,120,0.4
23,44,1.5
125,194,2.1
88,84,3.8
103,127,0.9
36,135,4.7
185,6,3.0
101,176,0.7
61,142,4.1
40,202,4.3
126,20,1.2
169,17,2.2
127,137,0.6
99,150,1.2
134,101,3.1
85,60,4.0
63,125,2.2
191,206,4.2
108,136,4.8
7,166,3.4
137,41,2.4
111,167,0.1
88,193,0.8
102,59,0.6
7,183,0.3
158,38,1.3
197,191,1.0
19,171,2.1
103,50,1.6
73,58,1.1
35,27,1.7
175,165,3.1
16,32,1.3
190,57,2.8
179,35,2.7
182,211,4.2
3,63,1.9
1,52,2.1
61,27,3.1
135,54,3.7
134,92,0.1
31,99,1.4
138,172,4.2
7,130,0.9
10,91,1.6
191,74,3.4
112,101,4.0
145,171,1.0
35,21,0.4
75,12,1.5
89,27,4.8
15,19,3.5
117,105,2.6
171,106,3.8
118,183,2.2
36,130,2.8
32,178,0.8
99,61,2.4
97,62,2.5
25,46,4.5
36,111,2.9
161,29,2.8
87,205,0.9
26,185,4.7
169,104,3.6
92,118,3.3
192,205,3.7
52,88,1.3
52,208,0.4
154,159,0.4
15,109,0.7
129,200,3.5
131,119,3.0
122,50,0.4
173,51,3.6
69,141,3.4
159,104,3.2
193,7,2.5
112,23,0.6
18,209,2.5
51,3,4.9
136,80,1.8
28,18,4.7
35,139,4.4
159,172,5.0
16,196,3.4
28,133,2.5
64,59,0.5
138,97,1.2
11,196,3.4
24,91,4.1
85,23,0.8
86,122,1.5
136,28,1.4
126,36,2.3
89,108,4.2
77,120,1.1
12,49,2.2
136,135,3.8
134,6,2.9
138,65,3.6
5,206,4.7
63,150,0.6
138,41,3.2
163,106,3.3
5,91,1.8
155,145,0.8
70,117,2.1
76,203,2.1
3,198,4.1
25,48,3.9
100,83,0.1
55,109,4.8
43,110,1.9
111,125,1.4
191,145,3.3
6,62,4.7
151,136,0.1
183,75,1.5
40,6,2.9
31,54,2.1
143,127,4.8
192,1,0.9
10,30,4.8
6,94,2.9
52,96,2.9
165,47,1.8
39,167,1.9
131,192,1.6
104,10,0.1
69,143,4.8
103,99,1.7
7,40,1.0
123,71,2.7
129,85,2.5
28,165,5.0
28,158,0.6
56,13,1.4
54,168,1.5
79,205,2.0
128,22,3.8
76,108,2.7
157,138,1.5
159,2,3.2
41,152,4.7
9,210,2.7
22,121,4.5
11,111,2.7
34,48,1.3
5,56,1.1
107,24,0.3
58,94,1.1
29,90,4.7
142,92,1.7
3,5,3.9
156,23,0.2
122,144,0.7
185,42,4.1
47,82,1.5
129,145,3.7
27,71,0.7
87,18,4.2
1,168,1.5
81,30,0.1
190,16,0.8
177,21,0.2
124,116,1.4
90,185,1.2
72,74,2.7
109,54,4.0
19,157,1.3
87,3,3.5
111,118,4.6
199,119,4.5
185,186,4.2
85,134,1.5
99,139,4.3
59,64,4.3
134,4,3.9
142,17,4.0
197,180,2.8
106,121,1.4
167,84,1.1
184,41,3.4
110,128,4.3
136,37,3.0
147,151,0.6
158,111,3.2
71,133,4.3
91,56,2.6
168,142,4.0
14,199,1.4
186,167,0.9
55,193,1.2
84,101,0.3
190,106,0.4
132,139,0.5
117,129,4.1
79,62,1.7
170,113,0.2
42,106,1.7
181,118,3.3
179,76,0.2
66,156,4.7
7,204,2.9
44,107,0.6
199,116,1.1
13,149,3.2
155,68,5.0
121,72,2.6
82,90,3.1
125,43,4.8
188,32,4.4
34,33,2.0
101,92,2.2
170,123,4.9
56,58,0.2
25,119,3.4
80,191,1.5
90,111,2.4
172,35,1.6
149,64,1.2
2,16,3.9
136,34,2.6
76,25,3.4
55,98,4.1
143,79,1.5
169,93,4.1
172,100,3.9
52,206,1.5
64,172,3.0
10,63,1.3
149,177,2.2
94,29,3.2
20,93,2.6
49,104,3.3
67,140,4.5
35,55,4.1
184,148,1.5
154,211,3.7
65,199,4.7
134,35,2.1
57,31,4.3
187,63,2.0
190,153,3.2
98,22,4.1
49,125,0.4
15,117,2.2
102,88,4.1
37,177,4.0
181,128,1.2
166,16,2.3
172,173,3.7
165,129,2.7
93,23,4.4
188,190,2.4
74,57,1.9
107,22,4.0
127,6,1.1
44,111,0.2
67,134,0.0
177,178,4.6
77,146,0.4
148,175,4.5
144,124,4.5
131,121,3.9
12,126,1.7
54,106,3.6
5,195,0.7
59,116,1.1
66,211,4.5
188,149,3.9
189,48,0.8
191,166,1.9
37,15,2.9
157,97,3.9
171,93,4.0
189,167,3.5
97,35,2.4
195,107,4.1
48,148,4.0
50,62,4.0
82,123,2.9
40,184,1.9
31,18,3.7
143,113,3.4
96,98,3.2
8,125,1.4
122,28,0.0
95,81,1.7
87,55,2.1
42,73,3.1
117,106,4.0
5,210,4.8
101,174,4.7
36,83,3.7
176,40,3.0
67,58,3.4
171,64,3.6
101,4,0.3
170,198,0.9
130,74,0.8
114,78,1.7
104,193,4.9
40,193,4.7
33,157,0.7
28,201,3.1
140,73,4.0
133,90,1.9
158,200,1.3
190,169,3.2
52,53,4.7
183,29,1.0
81,28,2.1
141,40,0.7
25,165,2.2
38,85,3.7
41,10,1.4
93,11,2.2
26,93,0.8
29,145,0.5
25,170,4.6
16,67,2.4
147,14,3.8
91,32,2.8
200,77,0.9
112,62,2.0
94,157,1.2
158,189,4.7
126,93,2.9
72,197,4.3
118,2,0.4
40,190,0.2
2,54,4.6
37,132,0.1
12,199,3.0
195,16,1.7
176,92,3.1
45,137,3.8
162,115,0.6
113,147,2.7
44,101,0.1
70,15,2.5
50,14,0.1
186,8,3.3
63,72,1.7
30,128,4.0
181,166,4.1
121,40,4.2
186,112,2.3
68,155,1.8
187,140,0.7
62,40,0.2
78,14,1.4
146,74,1.0
83,126,3.7
153,28,3.2
94,40,2.0
57,89,1.1
18,102,0.8
12,161,2.1
146,194,0.3
3,151,2.9
28,155,1.1
158,67,4.1
132,4,4.3
138,124,3.7
16,86,2.0
69,108,4.0
113,114,1.4
75,29,1.5
199,5,4.5
154,72,3.4
83,146,0.6
14,52,1.5
199,156,5.0
109,11,2.1
115,44,3.2
187,145,4.3
86,37,2.7
137,14,1.2
16,128,2.9
108,114,0.1
80,82,3.5
132,111,3.0
56,4,4.8
55,152,3.6
178,45,1.1
93,37,4.7
142,201,4.1
66,123,0.3
92,199,4.2
106,51,4.1
101,202,1.5
109,167,4.0
87,144,4.8
9,137,0.7
57,108,0.7
174,60,3.8
133,36,2.5
2,139,0.2
95,19,1.3
20,97,0.7
125,16,3.7
171,142,1.9
191,193,2.4
154,209,1.7
200,18,3.4
132,49,4.6
99,124,0.1
103,169,3.0
16,127,4.2
88,170,1.1
15,198,1.6
153,103,2.3
187,53,3.7
176,147,2.7
76,43,1.4
4,63,0.2
32,199,0.8
121,156,1.7
53,172,1.3
55,154,4.0
69,132,4.8
1,154,4.5
155,21,0.2
50,48,2.8
176,6,1.4
56,131,3.2
3,191,0.8
142,146,2.5
20,170,2.2
125,56,1.8
142,81,1.7
4,35,2.3
20,98,2.1
19,184,3.5
64,72,2.1
129,30,1.0
48,73,0.3
136,189,5.0
8,6,3.9
17,70,2.3
50,9,3.9
66,145,4.3
142,120,4.7
142,209,0.7
198,7,0.6
114,94,1.1
60,98,3.7
79,176,3.7
35,108,4.5
121,63,2.5
75,149,0.2
93,59,2.6
56,193,0.2
35,52,4.5
100,9,0.9
186,195,2.0
183,85,3.3
104,61,0.6
164,173,3.8
52,134,3.9
77,91,4.1
176,143,3.1
163,44,0.2
154,129,3.3
49,109,2.7
139,12,1.0
180,208,3.1
113,173,4.6
197,14,2.0
63,146,3.5
76,87,0.5
77,76,3.7
119,101,1.5
102,31,2.7
150,8,4.4
123,140,0.9
199,81,1.3
199,187,1.8
47,89,0.5
118,53,4.7
106,30,3.8
142,75,2.5
160,114,4.2
149,56,2.9
79,65,1.2
59,121,2.1
26,181,1.5
151,199,4.7
181,144,2.1
96,190,0.1
102,186,3.3
117,136,4.2
39,80,0.6
200,205,2.6
86,60,0.6
116,168,4.3
150,79,2.5
140,125,1.3
121,41,0.1
77,199,0.8
159,137,1.9
189,141,3.9
50,164,2.3
124,142,2.3
104,29,4.1
50,170,1.7
44,26,4.2
80,23,0.9
34,22,0.6
10,101,0.2
78,196,1.0
93,12,0.8
178,88,4.9
134,80,3.3
191,119,0.7
179,42,0.2
68,79,2.6
139,65,1.2
33,105,3.0
37,68,1.8
118,167,4.9
87,118,1.2
192,208,3.8
165,128,3.6
83,63,4.3
4,41,4.3
130,154,2.2
149,49,4.9
182,125,3.7
17,151,0.7
125,203,3.4
32,179,2.9
123,184,1.9
54,169,1.7
150,166,2.2
169,7,0.1
27,144,1.0
61,130,1.8
137,39,0.4
198,19,2.7
186,39,0.5
181,75,1.3
150,121,2.8
177,147,2.6
192,136,3.9
15,14,2.6
174,110,0.7
170,14,0.5
124,51,4.8
166,109,4.2
112,100,1.7
93,169,1.3
6,162,0.2
181,69,0.4
165,112,5.0
49,79,1.5
129,166,4.6
94,146,4.1
51,99,4.3
15,188,3.7
109,64,2.1
159,176,1.7
19,68,0.3
36,141,0.2
46,174,2.9
195,166,2.0
46,58,3.2
59,38,2.8
158,146,3.8
116,160,0.9
56,113,2.5
97,107,4.2
44,161,0.1
140,165,0.9
170,121,1.5
33,211,4.8
107,69,1.9
167,184,2.6
115,99,1.3
193,205,0.6
97,78,4.5
194,11,1.7
134,90,4.5
159,29,0.6
102,202,1.2
200,105,3.5
73,107,5.0
130,18,3.5
135,182,3.4
157,172,4.6
70,199,0.2
58,151,1.4
107,169,2.4
188,158,4.6
73,196,5.0
35,23,4.0
22,22,1.5
100,18,2.8
58,33,0.7
