00006812,00004334
00007021,00000788
00009935,00005305
00003727,00003922
00007052,00001601
0000851:,00004592
00003746,00006747
00009254,00006055
0000028:,00005374
00006238,00008235
00002434,00002665
0000979:,00005432
00008902,00006719
00002986,00006486
00002401,00002232
00000601,00000353
00004224,00001122
00006774,00001212
00004906,00005645
00000594,00007845
00000665,00000546
00008264,00002987
00009716,00002166
00006678,00004361
0000289:,00002073
00009215,00009895
00006218,00007617
00008035,0000269:
00009935,00006221
00000624,00007962
00001184,00007176
00003995,00003839
0000059:,0000278:
00004306,00003257
00002657,00004503
0000290:,00003218
00009365,0000209:
00004844,00004186
00007482,0000245:
0000286:,00008528
00009344,00005133
00002983,00004854
00009526,00005162
00008322,00005747
00006188,00000761
00008446,00009318
00003723,00009526
00003139,00007612
0000508:,00005568
00003567,00005841
00003885,00009211
00001656,00006776
00007889,00002339
0000747:,00008412
00001031,00006547
00004007,00000102
00004517,00009728
00007032,00001848
0000093:,0000104:
00007614,00003856
00009238,00004696
00001894,00009441
00005878,00007506
00009805,00005837
00002317,00008426
00003886,0000668:
00007265,00000393
0000347:,00000799
00009291,00002892
00005525,00007777
0000080:,00005132
00001357,0000429:
00008332,00005142
00005762,00005335
00002006,00001227
00008616,00004483
00002952,00003199
00009036,00001218
00009715,0000071:
00005923,00005075
00004745,00001432
00001647,00007307
0000979:,00005794
00000959,00003528
00004689,00002396
00001618,00001203
00003206,00002484
00009682,00006041
00002447,00009539
00009686,00001694
00001055,00008416
00008651,00006861
0000049:,00000723
00003393,00006133
00006839,00001711
00006135,00002448
00009013,00008676
00002782,00006357
00002963,00005174
00006318,00006734
00008988,0000303:
00005342,0000073:
0000042:,00000005
00000054,00000721
0000977:,00007658
00002355,00000625
00006051,00001843
00001036,00009907
00000271,00007269
00008583,00004447
00009352,00005382
00003652,00004879
00003479,0000519:
00006592,00004483
0000348:,00007038
00009284,00005983
00007724,00007597
00006872,00002682
00005644,00003402
0000792:,00006115
0000746:,00008621
00002469,00007992
00003236,00000291
00000125,00001199
00009302,00001124
00002589,00007511
00004907,00002032
00004872,00005236
00001796,00000423
00005747,00003408
00007993,00003171
0000066:,00007557
00001306,00009088
0000397:,00000484
00008492,00002528
00003788,00003958
00000665,00009062
00009856,00006612
00009188,00003779
00002267,00009884
00001953,00005563
00009801,00001598
00005658,00002212
00006454,00006811
00000689,00006573
00002671,00004086
00003357,00007243
00001279,00001219
00008877,00009695
00002938,00008942
00007884,00008966
00002568,00004941
00009223,00003754
00008499,00000217
00000444,00006456
00005085,00007225
00002654,00008626
00000257,00003111
00002462,00002716
00005733,00005656
00001474,00001154
00003014,00001899
00006289,00006934
00000936,00008859
00008017,00000902
00008992,00001037
00003028,00009237
00001428,00001265
00006856,00006061
00000793,00003606
00007619,00005667
00003965,00004775
00004768,00003283
00004451,00008913
00009689,00005945
00002494,0000599:
00002775,00009423
00002093,00007208
00009812,0000109:
00004022,00000593
00003916,00008601
00003398,00002091
00002086,0000693:
00004732,00003125
00003397,0000515:
0000644:,00004266
00007597,00004333
00005981,00003537
00009421,0000353:
00002855,00004324
00008673,00000937
00004316,00005598
00009077,00006812
0000330:,00004259
00007817,00009985
00006591,00002716
00001207,00009783
00009684,00003969
00004031,00007155
00005054,00003782
